Taxon,FAD,LAD
Abajudon_kaayai,260,260
Abajudon_kaayi,260,260
Abdalodon_diastematicus,259.1,254.14
Adelobasileus_cromptoni,237,227
Aelurognathus_tigriceps,259.1,254.14
Aerosaurus_greenleorum,303.7,295
Aerosaurus_greenleeorum,303.7,295
Aerosaurus_wellesi,298.9,290.1
Akidnognathus_parvus,259.1,251.902
Alemoatherium_huebneri,237,227
Aleodon_spp,247.2,227
Aleodon_brachyrhamphus,247.2,237
Aleodon_cromptoni,242,227
Alierasaurus_ronchii,283.5,268.8
Aloposaurus_sp_GPIT_RE_7124,254,254
Alopecodon_priscus,265.1,259.1
Andescynodon_mendozensis,247.2,242
Angelosaurus_romeri,272.95,268.8
Anteosaurus_magnificus,265.1,259.1
Apsisaurus_witteri,295,283.5
Archaeosyodon_praeventor,268.8,265.1
Archaeovenator_hamiltonensis,303.7,298.9
Archeothyris_florensis,315.2,307
Archaeothyris_florensis,315.2,307
Arctognathus_curvimola,259.1,251.902
Arctops_willistoni,259.1,254.14
Arctotraversodon_plemmyridon,235,221.5
Bonacynodon_schultzi,242,227
Boreogomphodon_jeffersoni,237,227
Botucaraitherium_belarminoi,227,208.5
BP_1_7098,265.1,259.1
BP_1_155,255,255
Brachyprosopus_broomi,265.1,259.1
Brasilitherium_riograndensis,227,208.5
Brasilodon_spp,227,208.5
Brasilodon_quadrangularis,227,208.5
Bulbasaurus_phylloxyron,259.1,254.14
Bullacephalus_jacksoni,265.1,259.1
Burnetia_mirabilis,254.14,251.902
Callibrachion_gaudreyi,290.1,283.5
Callibrachion_gaudryi,290.1,283.5
Candelariodon_barberenai,242,235
Captorhinus,276,276
Captorhinus_spp,276,276
Casea_broilii,283.5,272.95
Casea_halselli,290.1,268
Casea_nicholsi,283.5,272.95
Clelandina_rubidgei,259.1,251.902
Colobodectes_cluveri,265.1,259.1
Compsodon_helmoedi,259.1,251.902
Cotylorhynchus_bransoni,272.95,268.8
Cotylorhynchus_hancoki,272.95,268.8
Cotylorhynchus_hancocki,272.95,268.8
Cotylorhynchus_romeri,283.5,272.95
Counillonia_superoculis,252.3,247.2
Cricodon_spp,237,237
Cynosaurus_suppostus,252,252
Cyonosaurus_longiceps,259,254
Cyonosaurus_rubidgei,259,252.3
Dadadon_isaloi,242,227
Dapeocephalus_leoniceps,259.1,251.902
Daptocephalus_leoniceps,259.1,251.902
Daqingshanodon_limbus,254.14,251.902
Datheosaurus_macrous,303.7,298.9
Datheosaurus_macrourus,303.7,298.9
Delectosaurus_arefjevi,254.14,251.902
Delectosaurus_berezhanensis,254.14,251.902
Delphinognathus_conocephalus,265.1,259.1
Diadectes,276,276
Dendromaia_unamakiensis,314.6,306.95
Diademodon_tetragonus,251.2,237
Dianzhongia_longirostrata,199.3,182.7
Diarthognathus_broomi,201.3,190.8
