Genus_species,Taxon_1,Taxon_2,Genus_FAD,Genus_LAD
Abdounodus_hamdii,,,61.7,59.2
Achaenodon_robustus,,,46.2,37.2
Achaenodon_uintensis,,,46.2,37.2
Aclistomycter_middletoni,,,40.4,33.9
Acotherulum_pumilum,,,41.3,28.4
Adapis_parisiensis,,,41.3,33.9
Adapisoricid_sp._(FAMILY_LEVEL),,,61.7,56.8
Afradapis_longicristatus,,,38,33.9
Aframonius_dieides,,,38,28.1
Agriochoerus_antiquus,,,40.4,20.43
Ailuravus_macrurus,,,56,38
Alcidedorbignya_inopinata,,,66,64.6
Allqokirus_australis,,,66,64.6
Alphadon_eatoni,,,86.3,66
Alphadon_halleyi,,,86.3,66
Altacreodus_magnus,,,72.1,66
Ambloctonus_sinosus,,,55.8,48.6
Amblotherium_pusillum,,,157.3,140.2
Ambolestes_zhoui,,,125.45,122.46
Amphidozotherium_cayluxi,,,38,28.4
Amphiperatherium_maximum,,,56,12.75
Amphitherium_prevostii,,,167.7,164.7
Amynodon_advenus,,,48.6,23.03
Anagalopsis_kansuensis,,,41.3,38
Anatoliadelphys_maasae,,,45,42
Andinodelphys_cochabambensis,,,66,64.6
Ankalagon_saurognathus,,,64.6,61.6
Anthracobunodon_weigelti,,,47.8,38
Apataelurus_kayi,,,46.2,40.4
Apatemys_uintensis,,,56,33.9
Apternodus_baladontus,,,40.4,33.3
Archaeomeryx_optatus,,,48.6,37.2
Archaeonycteris_sp.,,,55.8,38
Archaeotherium_mortoni,,,37.2,15.97
Arctocyon_ferox,,,64.6,55.8
Arctocyon_primaevus,,,64.6,55.8
Ardynictis_captor,,,48.6,33.9
Arfia_shoshoniensis,,,56,46.2
Asiatherium_reshetovi,,,78,72.1
Asioryctes_nemegetensis,,,76,70
Aspanlestes_aptap,,,93.9,78
Astraponotus_sp.,,,42,33.9
Aulolithomys_bounites,,,40.4,33.9
Auraria_urbana,,,66,64.6
Baioconodon_denverensis,,,69,64.6
Barunlestes_butleri,,,76,70
Barylambda_faberi,,,61.7,50.3
Bathygenys_reevesi,,,37.2,33.3
Bathyopsis_fissidens,,,55.8,46.2
Bessoecetor_septentrionalis,,,64.6,55.8
Borisodon_kara,,,93.5,89.3
Bumbanius_rarus,,,58.7,48.6
Caenolambda_jepseni,,,64.6,50.3
Callistoe_vincei,,,48.6,33.9
Cambaya_complexus,,,52,47.8
Cambaytherium_bidens,,,56,47.8
Cambaytherium_thewissi,,,56,47.8
Cantius_abditus,,,56,41.3
Cantius_trigonodus,,,56,41.3
Carcinodon_simplex,,,66,61.7
Carodnia_vieirai,,,61.6,48.6
Carpolestes_simpsoni,,,61.7,55.8
Centetodon_chadronensis,,,55.8,20.43
Ceruttia_sandiegoensis,,,46.2,40.4
Chadronia_margaretae,,,37.2,33.9
Chiromyoides_campanicus_(USED_UNPUBLISHED_IMAGE_FROM_CONFERENCE_POSTER),,,61.7,47.8
Chronolestes_simul,,,55.8,48.6
Claenodon_montanensis,,,64.6,56.8
Cocomys_lingchaensis,,,55.8,48.6
Colbertia_magellanica,,,55,33.9
Conoryctes_comma,,,64.6,61.7
Coriphagus_encinensis,,,64.6,61.7
Coriphagus_montanus,,,64.6,61.7
Coryphodon_lobatus,,,56.8,40.4
Cronopio_dentiacutus,,,99.6,93.5
Crusafontia_cuencana,,,136.4,125.45
Cylindrodon_fontis,,,40.4,33.9
Deltatheridium_pretrituberculare,,,83.5,70
Deltatherium_fundaminis,,,64.6,61.7
Didelphodon_coyi,,,72.1,66
Didelphodon_vorax,,,72.1,66
Didymictis_dellensis,,,61.7,46.2
Diplacodon_elatus,,,46.2,38
Diplobunops_matthewi,,,46.2,33.9
Dipsalidictis_platypus,,,61.7,48.6
Dissacus_praenuntius,,,66,47.8
Dissacus_raslanloubatieri,,,66,47.8
Dissacus_rougierae,,,66,47.8
Dolichorhinus_hyognathus,,,46.2,40.4
Douglassciurus_jeffersoni,,,46.2,30.8
Dryolestes_leiriensis,,,157.3,145
Dryomomys_szalayi,,,61.7,50.3
Duchesneodus_uintensis,,,46.2,37.2
Echinolestes_quercyi,,,37.2,33.9
Ectocion_cedrus,,,64.4,46.2
Ectoconus_ditrigonus,,,66,61.7
Ectoganus_sp.,,,61.7,50.3
Elphidotarsius_florencae,,,64.6,56.8
Embolotherium_andrewsi,,,37.2,28.4
Embolotherium_grangeri,,,37.2,28.4
Eoastrapostylops_riolorense,,,50.3,47.8
Eoconodon_coryphaeus,,,64.6,61.7
Eodelphis_browni,,,85.8,66
Eomaia_scansoria,,,125.5,122.5
Eosigale_gujingensis,,,61.7,58.7
Eotitanops_borealis,,,56,41.3
Eotylopus_reedi,,,40.4,33.9
Epidolops_ameghinoi,,,58.7,50.3
Eppsinycteris_anglica,,,56,47.8
Erlikotherium_edentatum,,,48.6,37.2
Ernanodon_antelios,,,61.7,55.8
Eubrontotherium_clarnoensis,,,40.4,37.2
Eumys_elegans,,,40.4,26.3
Exmus_mini,,,55.8,48.6
Gazinocyon_vulpeculus,,,55.8,50.3
Gervachoerus_jaegeri,,,48.6,33.9
Gnathotitan_berkeyi,,,48.6,37.2
Gobiatherium_mirificum,,,55.8,37.2
Gomphos_elkema,,,58.7,37.2
Griphotherion_peiranoi,,,47.8,41.3
Hapalodectes_hetangensis,,,61.7,40.4
Haplobunodon_muelleri,,,48.6,33.9
Haplolambda_quinni,,,61.7,55.8
Harpagolestes_uintensis,,,50.3,33.9
Hassianycteris_messelensis,,,56,47.8
Heishanlestes_changi,,,120,110
Heliscomys_ostranderi,,,40.4,20.43
Hemipsalodon_grandis,,,40.4,33.9
Henkelotherium_guimarotae,,,157.3,152.1
Heptodon_posticus,,,55.8,46.2
Hesperocyon_gregarius,,,41,28.1
Hipposideros_major,,,48.6,0
Hipposideros_schlosseri,,,48.6,0
Hyaenodon_crucians,,,47.8,15.97
Hyaenodon_horridus,,,47.8,15.97
Hyaenodon_mustelinus,,,47.8,15.97
Hyopsodus_wortmani,,,56.8,37.2
Hypertragulus_calcaratus,,,40.4,15.97
Hypisodus_minimus,,,37.2,26.3
Hyrachyus_douglassi,,,55.8,38
Hyrachyus_modestus,,,55.8,38
Hyracodon_priscidens,,,40.4,26.3
Hyracotherium_sp.,,,56,46.2
Icaronycteris_menui,,,56.8,41
Icaronycteris_sigei,,,56.8,41
Ignacius_graybullianus,,,64.6,48.6
Indohyaenodon_raoi,,,56,50.3
Ischyromys_typus,,,46.2,30.8
Ischyromys_veterior,,,46.2,30.8
Juramaia_sinensis,,,163.5,157.3
Kennalestes_gobiensis,,,93.9,71
Kennatherium_shirense,,,48.6,37.2
Kiyatherium_cardiodens,,,129.4,122
Kopidodon_macrognathus,,,48.6,46
Krebsotherium_lusitanicum,,,157.3,152.1
Kulbeckia_kulbecke,,,93.9,83.5
Labidolemur_kayi,,,61.7,50.3
Lactodens_sheni,,,125,113
Lambdotherium_popoagicum,,,55.8,46.2
Laolestes_eminens,,,161.2,136.4
Lapichiropteryx_xiei,,,48.6,37.2
Leptadapis_magnus,,,41.3,33.9
Leptictidium_nasutum,,,56,33.9
Leptictis_dakotensis,,,40.4,30.8
Leptolambda_churchilli,,,61.7,50.3
Leptomeryx_evansi,,,38,30.8
