"junior" "senior" "rule"
"Filikomys_minor" "Vincelestes_neuquenianus" "rule_2b"
"Palaeostylops_macrodon" "Ambolestes_zhoui" "rule_2b"
"Palaeostylops_macrodon" "Trogosus_grangeri" "rule_2b"
"Palaeostylops_macrodon" "Sinodelphys_szalayi" "rule_2b"
"Palaeostylops_macrodon" "Juramaia_sinensis" "rule_2b"
"Palaeostylops_macrodon" "Pahelia_mysteriosa" "rule_2b"
"Palaeostylops_macrodon" "Eomaia_scansoria" "rule_2b"
"Palaeotherium_magnum" "Equus_caballus" "rule_2b"
"Tetragonostylops_apthomasi" "Trigonostylops_wortmani" "rule_2b"
"Auraria_urbana" "Maiorana_noctiluca" "rule_2b"
"Exmus_mini" "Cocomys_lingchaensis" "rule_2b"
"Palaeonictis_peloria" "Palaeonictis_occidentalis" "rule_2b"
"Dissacus_raslanloubatieri" "Dissacus_rougierae" "rule_1b"
"Eppsinycteris_anglica" "Tachypteron_franzeni" "rule_1b"
"Eppsinycteris_anglica" "Saccopteryx_bilineata" "rule_2b"
"Erophylla_sezekorni" "Lophostoma_silvicolum" "rule_1b"
"Noctilio_albiventris" "Noctilio_leporinus" "rule_1b"
"Tachypteron_franzeni" "Saccopteryx_bilineata" "rule_2b"
"Mozomus_shikamai" "Peramus_tenuirostris" "rule_2b"
"Pterodon_hyaenoides" "Pterodon_dasyuroides" "rule_2b"
"Sinopa_major" "Sinopa_rapax" "rule_2b"
"Sinopa_major" "Sinopa_grangeri" "rule_2b"
"Labidolemur_kayi" "Sinclairella_dakotensis" "rule_1b"
"Megadelphus_lundeliusi" "Navajovius_kohlhaasae" "rule_2b"
"Paromomys_depressidens" "Ignacius_graybullianus" "rule_2b"
"Cadurcodon_ardynensis" "Cadurcodon_kazakademius" "rule_1b"
"Cadurcotherium_cayluxi" "Cadurcotherium_minus" "rule_1b"
"Lynx_rufus" "Puma_concolor" "rule_2b"
"Paraceratherium_asiaticum" "Paraceratherium_bugtiense" "rule_1b"
"Protapirus_simplex" "Tapirus_terrestris" "rule_2b"
"Zaisanamynodon_borisovi" "Zaisanamynodon_protheroi" "rule_1b"
"Duchesneodus_uintensis" "Megacerops_coloradensis" "rule_1b"
"Embolotherium_andrewsi" "Embolotherium_grangeri" "rule_1b"
"Metatitan_primus" "Metatitan_relictus" "rule_1b"
"Coriphagus_encinensis" "Coriphagus_montanus" "rule_1b"
"Cacajao_calvus" "Pithecia_pithecia" "rule_1b"
"Lagothrix_lagotricha" "Alouatta_seniculus" "rule_2b"
"Galecyon_gallus" "Tritemnodon_agilis" "rule_2b"
"Gracilocyon_igniculus" "Gracilocyon_rosei" "rule_1b"
"Gracilocyon_igniculus" "Gracilocyon_rundlei" "rule_1b"
"Gracilocyon_igniculus" "Gracilocyon_winkleri" "rule_1b"
"Gracilocyon_rosei" "Gracilocyon_rundlei" "rule_1b"
"Gracilocyon_rosei" "Gracilocyon_winkleri" "rule_1b"
"Gracilocyon_rundlei" "Gracilocyon_winkleri" "rule_1b"
"Hukoutherium_ambigum" "Hukoutherium_shimemensis" "rule_1b"
"Machaeroides_eothen" "Machaeroides_simpsoni" "rule_1b"
"Oxyaena_pardalis" "Oxyaena_simpsoni" "rule_1b"
"Oxyaena_pardalis" "Oxyaena_woutersi" "rule_1b"
"Oxyaena_pardalis" "Oxyaena_forcipata" "rule_2b"
"Oxyaena_pardalis" "Oxyaena_gulo" "rule_2b"
"Oxyaena_pardalis" "Oxyaena_lupina" "rule_2b"
"Oxyaena_simpsoni" "Oxyaena_woutersi" "rule_1b"
"Oxyaena_simpsoni" "Oxyaena_forcipata" "rule_2b"
"Oxyaena_simpsoni" "Oxyaena_gulo" "rule_2b"
"Oxyaena_simpsoni" "Oxyaena_lupina" "rule_2b"
"Oxyaena_woutersi" "Oxyaena_forcipata" "rule_2b"
"Oxyaena_woutersi" "Oxyaena_gulo" "rule_2b"
"Oxyaena_woutersi" "Oxyaena_lupina" "rule_2b"
"Simpsonictis_jaynanneae" "Simpsonictis_pegus" "rule_1b"
"Simpsonictis_jaynanneae" "Simpsonictis_tenuis" "rule_1b"
"Simpsonictis_pegus" "Simpsonictis_tenuis" "rule_1b"
"Sinopa_aculeatus" "Sinopa_ethiopica" "rule_1b"
"Sinopa_aculeatus" "Sinopa_eximia" "rule_1b"
"Sinopa_aculeatus" "Sinopa_insectivorus" "rule_1b"
"Sinopa_aculeatus" "Sinopa_lania" "rule_1b"
"Sinopa_aculeatus" "Sinopa_pungens" "rule_1b"
"Sinopa_aculeatus" "Sinopa_viverrinus" "rule_1b"
"Sinopa_aculeatus" "Sinopa_rapax" "rule_2b"
"Sinopa_aculeatus" "Sinopa_grangeri" "rule_2b"
"Sinopa_ethiopica" "Sinopa_eximia" "rule_1b"
"Sinopa_ethiopica" "Sinopa_insectivorus" "rule_1b"
"Sinopa_ethiopica" "Sinopa_lania" "rule_1b"
"Sinopa_ethiopica" "Sinopa_pungens" "rule_1b"
"Sinopa_ethiopica" "Sinopa_viverrinus" "rule_1b"
"Sinopa_ethiopica" "Sinopa_rapax" "rule_2b"
"Sinopa_ethiopica" "Sinopa_grangeri" "rule_2b"
"Sinopa_eximia" "Sinopa_insectivorus" "rule_1b"
"Sinopa_eximia" "Sinopa_lania" "rule_1b"
"Sinopa_eximia" "Sinopa_pungens" "rule_1b"
"Sinopa_eximia" "Sinopa_viverrinus" "rule_1b"
"Sinopa_eximia" "Sinopa_rapax" "rule_2b"
"Sinopa_eximia" "Sinopa_grangeri" "rule_2b"
"Sinopa_insectivorus" "Sinopa_lania" "rule_1b"
"Sinopa_insectivorus" "Sinopa_pungens" "rule_1b"
"Sinopa_insectivorus" "Sinopa_viverrinus" "rule_1b"
"Sinopa_insectivorus" "Sinopa_rapax" "rule_2b"
"Sinopa_insectivorus" "Sinopa_grangeri" "rule_2b"
"Sinopa_lania" "Sinopa_pungens" "rule_1b"
"Sinopa_lania" "Sinopa_viverrinus" "rule_1b"
"Sinopa_lania" "Sinopa_rapax" "rule_2b"
"Sinopa_lania" "Sinopa_grangeri" "rule_2b"
"Sinopa_pungens" "Sinopa_viverrinus" "rule_1b"
"Sinopa_pungens" "Sinopa_rapax" "rule_2b"
"Sinopa_pungens" "Sinopa_grangeri" "rule_2b"
"Sinopa_viverrinus" "Sinopa_rapax" "rule_2b"
"Sinopa_viverrinus" "Sinopa_grangeri" "rule_2b"
"Achaenodon_uintensis" "Archaeotherium_mortoni" "rule_2b"
"Camelus_dromedarius" "Lama_glama" "rule_2b"
"Ovis_aries" "Bos_taurus" "rule_2b"
"Potamochoerus_porcus" "Sus_scrofa" "rule_2b"
"Petrodromus_tetradactylus" "Rhynchocyon_cirnei" "rule_2b"
"Ambolestes_zhoui" "Sinodelphys_szalayi" "rule_2b"
"Oxyaena_forcipata" "Oxyaena_gulo" "rule_1b"
"Patriofelis_ferox" "Patriofelis_ulta" "rule_1b"
"Varecia_variegata" "Lemur_catta" "rule_2b"
"Peligrotherium_tropicalis" "Cronopio_dentiacutus" "rule_2b"
"Origolestes_lii" "Kiyatherium_cardiodens" "rule_2b"
"Chaetodipus_baileyi" "Chaetodipus_intermedius" "rule_1b"
"Geomys_pinetis" "Thomomys_bottae" "rule_2b"
"Coryphodon_lobatus" "Titanoides_primaevus" "rule_1b"
"Pachyaena_gracilis" "Pachyaena_gigantea" "rule_2b"
"Pachyaena_gracilis" "Pachyaena_ossifraga" "rule_2b"
"Pantolambda_cavirictus" "Pantolambda_bathmodon" "rule_2b"
"Prodiacodon_paucus" "Prodiacodon_tauricinerei" "rule_1b"
"Protochriacus_simplex" "Loxolophus_hyattianus" "rule_2b"
"Thryptacodon_australis" "Thryptacodon_pseudarctos" "rule_1b"
"Hyaenodon_crucians" "Hyaenodon_mustelinus" "rule_1b"
"Hyaenodon_crucians" "Hyaenodon_horridus" "rule_2b"
"Hyaenodon_mustelinus" "Hyaenodon_horridus" "rule_2b"
"Pachyaena_gigantea" "Pachyaena_ossifraga" "rule_2b"
"Loris_tardigradus" "Nycticebus_coucang" "rule_1b"
