"","Original_Node_Name","Taxon_1","Taxon_2","Min_Date","Genus_LAD"
"364","Vulpavus_canavus","Vulpavus_canavus","Vulpavus_profectus",55.8,46.2
"365","Vulpavus_profectus","Vulpavus_canavus","Vulpavus_profectus",55.8,46.2
"355","Uintacyon_massetericus","Uintacyon_acutus","Uintacyon_asodes",58.7,46.2
"82","Didymictis_dellensis","Didymictis_altidens","Didymictis_dellensis",61.7,46.2
"353","Tubulodon_pearcei","Tubulodon_atopum","Tubulodon_pearcei",55.8,46.2
"85","Dipsalidictis_platypus","Dipsalidictis_aequidens","Dipsalidictis_krausei",61.7,48.6
"166","Leptomeryx_evansi","Leptomeryx_agatensis","Leptomeryx_antecedens",38,30.8
"282","Poebrotherium_sp.","Poebrotherium_chadronense","Poebrotherium_eximium",37.2,24.8
"144","Icaronycteris_menui","Icaronycteris_index","Icaronycteris_menui",56.8,41
"145","Icaronycteris_sigei","Icaronycteris_index","Icaronycteris_menui",56.8,41
"130","Heptodon_posticus","Heptodon_calciculus","Heptodon_minimus",55.8,46.2
"173","Litolophus_gobiensis","Litolophus_ghazijensis","Litolophus_gobiensis",56,47.8
"143","Hyracotherium_sp.","Hyracotherium_gabuniai","Hyracotherium_leporinum",56,46.2
"256","Paramys_delicatus","Paramys_copei","Paramys_delicatus",56.8,33.9
"171","Litocherus_notissimus","Litocherus_lacunatus","Litocherus_notissimus",64.6,56.8
"63","Centetodon_chadronensis","Centetodon_aztecus","Centetodon_bacchanalis",55.8,20.43
"137","Hyopsodus_wortmani","Hyopsodus_fangxianensis","Hyopsodus_fastigatus",56.8,37.2
"358","Utaetus_buccatus","Utaetus_buccatus","Utaetus_deustus",48.6,33.9
"74","Coryphodon_lobatus","Coryphodon_armatus","Coryphodon_eocaenus",56.8,40.4
"344","Titanoides_primaevus","Titanoides_gidleyi","Titanoides_looki",61.7,55.8
"251","Pantolambda_bathmodon","Pantolambda_bathmodon","Pantolambda_cavirictus",64.6,56.8
"252","Pantolambda_cavirictus","Pantolambda_bathmodon","Pantolambda_cavirictus",64.6,56.8
"287","Procerberus_formicarum","Procerberus_andesiticus","Procerberus_formicarum",69,61.7
